datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2025-05-06 10:00:00,2025-05-08 22:24:46,3.0,3.076717832112114,276.764025371659,273.8037895001639,0.0,3.639601712324789,,,,14.08627,604.10345,
2025-05-06 11:00:00,2025-05-08 22:24:46,3.0,3.076717832112114,276.764025371659,273.8037895001639,0.0,3.639601712324789,,,,31.75625,576.68352,
2025-05-06 12:00:00,2025-05-08 22:24:46,3.0,3.076717832112114,276.764025371659,273.8037895001639,0.0,3.639601712324789,,,,33.10966,533.98136,
2025-05-06 13:00:00,2025-05-08 22:24:46,3.0,3.3825380748648857,278.733412927279,274.0487569363858,0.0011751518344823,4.356844035014716,,,,23.90948,487.30338,
2025-05-06 14:00:00,2025-05-08 22:24:46,3.0,3.3825380748648857,278.733412927279,274.0487569363858,0.0011751518344823,4.356844035014716,,,,11.3084,465.92363,
2025-05-06 15:00:00,2025-05-08 22:24:46,3.0,3.3825380748648857,278.733412927279,274.0487569363858,0.0011751518344823,4.356844035014716,,,,22.69394,467.00471,
2025-05-06 16:00:00,2025-05-08 22:24:46,3.0,3.83313195240388,281.5715524300404,274.123292764545,109.13194549102796,5.058521737635119,,,,70.19864,454.0019,
2025-05-06 17:00:00,2025-05-08 22:24:46,3.0,3.83313195240388,281.5715524300404,274.123292764545,109.13194549102796,5.058521737635119,,,,142.68748,438.42277,
2025-05-06 18:00:00,2025-05-08 22:24:46,3.0,3.83313195240388,281.5715524300404,274.123292764545,109.13194549102796,5.058521737635119,,,,245.38968,418.94446,
2025-05-06 19:00:00,2025-05-08 22:24:46,3.0,4.208614232885674,283.4952962711006,274.1734113221843,285.00366646311335,5.8557571626301055,,,,361.79153,425.21885,
2025-05-06 20:00:00,2025-05-08 22:24:46,3.0,4.208614232885674,283.4952962711006,274.1734113221843,285.00366646311335,5.8557571626301055,,,,421.20057,459.42751,
2025-05-06 21:00:00,2025-05-08 22:24:46,3.0,4.208614232885674,283.4952962711006,274.1734113221843,285.00366646311335,5.8557571626301055,,,,449.08909,498.55243,
2025-05-06 22:00:00,2025-05-08 22:24:46,3.0,4.23614217037186,283.5505238631356,274.3896717429036,592.3600879555903,6.577571530384182,,,,418.57166,533.07689,
