,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
38,2025-04-26 14:00:00,2025-05-01 04:36:13,3.0,615.65,1261.9783935546875,478.8512573242188,0.0,0.05706787109375,100.2508544921875,68.34808349609375
39,2025-04-26 15:00:00,2025-05-01 04:36:13,3.0,603.85,1309.4891967773438,476.9256286621094,0.0,0.028533935546875,150.62542724609375,68.67404174804688
40,2025-04-26 16:00:00,2025-05-01 04:36:13,3.0,599.24,1395.244598388672,474.9628143310547,0.0,8.514266967773438,181.31271362304688,68.83702087402344
41,2025-04-26 17:00:00,2025-05-01 04:36:13,3.0,592.94,1478.122299194336,471.98140716552734,0.0,35.75713348388672,201.15635681152344,68.41851043701172
42,2025-04-26 18:00:00,2025-05-01 04:36:13,3.0,592.72,1563.561149597168,470.4907035827637,0.0,49.37856674194336,213.0781784057617,67.20925521850586
43,2025-04-26 19:00:00,2025-05-01 04:36:13,3.0,596.28,1641.780574798584,468.2453517913818,0.0,56.18928337097168,214.5390892028809,66.60462760925293
44,2025-04-26 20:00:00,2025-05-01 04:36:13,3.0,599.95,1684.890287399292,466.6226758956909,0.0,60.09464168548584,207.76954460144043,66.30231380462646
45,2025-04-26 21:00:00,2025-05-01 04:36:13,3.0,601.08,1654.445143699646,463.3113379478455,0.0,61.54732084274292,194.8847723007202,66.15115690231323
46,2025-04-26 22:00:00,2025-05-01 04:36:13,3.0,602.33,1627.722571849823,462.15566897392273,0.0,61.77366042137146,182.9423861503601,68.57557845115662
47,2025-04-26 23:00:00,2025-05-01 04:36:13,3.0,617.22,1653.3612859249115,461.57783448696136,0.0,62.88683021068573,129.97119307518005,69.28778922557831
