datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2025-05-07 11:00:00,2025-05-08 22:24:46,3.0,3.1499917388183576,284.07868786406243,282.8920926439032,0.0,16.198063408515424,,,,,3107.83593,
2025-05-07 12:00:00,2025-05-08 22:24:46,3.0,3.1499917388183576,284.07868786406243,282.8920926439032,0.0,16.198063408515424,,,,,3116.71734,
2025-05-07 13:00:00,2025-05-08 22:24:46,3.0,3.804485396507424,286.77703463202965,283.131393258653,25.03374078394277,16.581091758125407,,,,,3119.35766,
2025-05-07 14:00:00,2025-05-08 22:24:46,3.0,3.804485396507424,286.77703463202965,283.131393258653,25.03374078394277,16.581091758125407,,,,,3140.46296,
2025-05-07 15:00:00,2025-05-08 22:24:46,3.0,3.804485396507424,286.77703463202965,283.131393258653,25.03374078394277,16.581091758125407,,,,,3154.71213,
2025-05-07 16:00:00,2025-05-08 22:24:46,3.0,4.022350160069816,288.252182430533,283.2900919831386,332.73443504532446,16.921745303521757,,,,,3150.46625,
2025-05-07 17:00:00,2025-05-08 22:24:46,3.0,4.022350160069816,288.252182430533,283.2900919831386,332.73443504532446,16.921745303521757,,,,,3139.47492,
2025-05-07 18:00:00,2025-05-08 22:24:46,3.0,4.022350160069816,288.252182430533,283.2900919831386,332.73443504532446,16.921745303521757,,,,,3143.1498,
2025-05-07 19:00:00,2025-05-08 22:24:46,3.0,4.048536204529004,288.0149145583158,283.67891457503254,415.0189905749071,17.362149046947525,,,,,3112.61182,
2025-05-07 20:00:00,2025-05-08 22:24:46,3.0,4.048536204529004,288.0149145583158,283.67891457503254,415.0189905749071,17.362149046947525,,,,,3102.953,
2025-05-07 21:00:00,2025-05-08 22:24:46,3.0,4.048536204529004,288.0149145583158,283.67891457503254,415.0189905749071,17.362149046947525,,,,,3087.36481,
2025-05-07 22:00:00,2025-05-08 22:24:46,3.0,3.125118367721983,285.2411721314116,283.1002747360813,393.8255765273712,17.814878562324935,,,,,3090.20943,
2025-05-07 23:00:00,2025-05-08 22:24:46,3.0,3.125118367721983,285.2411721314116,283.1002747360813,393.8255765273712,17.814878562324935,,,,,3089.47568,
2025-05-08 00:00:00,2025-05-08 22:24:46,3.0,3.125118367721983,285.2411721314116,283.1002747360813,393.8255765273712,17.814878562324935,,,,,2891.62005,
2025-05-08 01:00:00,2025-05-08 22:24:46,3.0,2.7525258141855566,283.46526919903573,281.9087885949102,258.60180649693905,18.01794921291983,,,,,2958.66005,
2025-05-08 02:00:00,2025-05-08 22:24:46,3.0,2.7525258141855566,283.46526919903573,281.9087885949102,258.60180649693905,18.01794921291983,,,,,2904.0,
2025-05-08 03:00:00,2025-05-08 22:24:46,3.0,2.7525258141855566,283.46526919903573,281.9087885949102,258.60180649693905,18.01794921291983,,,,,3172.6695,
2025-05-08 04:00:00,2025-05-08 22:24:46,3.0,2.509791176674624,282.53358617679794,281.1727897400509,0.2199501906196,18.097438101389848,,,,,3189.78742,
2025-05-08 05:00:00,2025-05-08 22:24:46,3.0,2.509791176674624,282.53358617679794,281.1727897400509,0.2199501906196,18.097438101389848,,,,,3190.3519,
2025-05-08 06:00:00,2025-05-08 22:24:46,3.0,2.509791176674624,282.53358617679794,281.1727897400509,0.2199501906196,18.097438101389848,,,,,3175.10838,
2025-05-08 07:00:00,2025-05-08 22:24:46,3.0,2.403802860223019,281.7164765074976,280.52455190579474,0.1099857005018368,18.16051256730901,,,,,3183.70716,
2025-05-08 08:00:00,2025-05-08 22:24:46,3.0,2.403802860223019,281.7164765074976,280.52455190579474,0.1099857005018368,18.16051256730901,,,,,3175.75692,
2025-05-08 09:00:00,2025-05-08 22:24:46,3.0,2.403802860223019,281.7164765074976,280.52455190579474,0.1099857005018368,18.16051256730901,,,,,3165.79613,
2025-05-08 10:00:00,2025-05-08 22:24:46,3.0,2.6018948980214978,282.72951544683184,280.54430308549587,0.0,18.23615873462544,,,,,3123.89382,
2025-05-08 11:00:00,2025-05-08 22:24:46,3.0,2.6018948980214978,282.72951544683184,280.54430308549587,0.0,18.23615873462544,,,,,3107.83593,
2025-05-08 12:00:00,2025-05-08 22:24:46,3.0,2.6018948980214978,282.72951544683184,280.54430308549587,0.0,18.23615873462544,,,,,3116.71734,
2025-05-08 13:00:00,2025-05-08 22:24:46,3.0,2.9018113709923323,285.23897910877554,280.5038399887528,26.49269292698146,18.300638877206246,,,,,3119.35766,
2025-05-08 14:00:00,2025-05-08 22:24:46,3.0,2.9018113709923323,285.23897910877554,280.5038399887528,26.49269292698146,18.300638877206246,,,,,3140.46296,
2025-05-08 15:00:00,2025-05-08 22:24:46,3.0,2.9018113709923323,285.23897910877554,280.5038399887528,26.49269292698146,18.300638877206246,,,,,3154.71213,
2025-05-08 16:00:00,2025-05-08 22:24:46,3.0,3.124346810552767,286.2645831535725,280.400919626964,349.88859020398206,18.360613763742226,,,,,3150.46625,
2025-05-08 17:00:00,2025-05-08 22:24:46,3.0,3.124346810552767,286.2645831535725,280.400919626964,349.88859020398206,18.360613763742226,,,,,3139.47492,
2025-05-08 18:00:00,2025-05-08 22:24:46,3.0,3.124346810552767,286.2645831535725,280.400919626964,349.88859020398206,18.360613763742226,,,,,3143.1498,
2025-05-08 19:00:00,2025-05-08 22:24:46,3.0,3.3253556331769767,285.8159528416367,280.32815281889,440.7355099461674,18.54273285449501,,,,,3112.61182,
2025-05-08 20:00:00,2025-05-08 22:24:46,3.0,3.3253556331769767,285.8159528416367,280.32815281889,440.7355099461674,18.54273285449501,,,,,3102.953,
2025-05-08 21:00:00,2025-05-08 22:24:46,3.0,3.3253556331769767,285.8159528416367,280.32815281889,440.7355099461674,18.54273285449501,,,,,3087.36481,
2025-05-08 22:00:00,2025-05-08 22:24:46,3.0,2.628115963320747,283.04503948672595,280.0349899236486,431.6837831361098,18.788177591316376,,,,,3090.20943,
2025-05-08 23:00:00,2025-05-08 22:24:46,3.0,2.628115963320747,283.04503948672595,280.0349899236486,431.6837831361098,18.788177591316376,,,,,3089.47568,
2025-05-09 00:00:00,2025-05-08 22:24:46,3.0,2.628115963320747,283.04503948672595,280.0349899236486,431.6837831361098,18.788177591316376,,,,,2891.62005,
2025-05-09 01:00:00,2025-05-08 22:24:46,3.0,2.543107695584575,280.92028328877234,278.8645591329816,286.71498591887945,19.06425330030394,,,,,2958.66005,
2025-05-09 02:00:00,2025-05-08 22:24:46,3.0,2.543107695584575,280.92028328877234,278.8645591329816,286.71498591887945,19.06425330030394,,,,,2904.0,
2025-05-09 03:00:00,2025-05-08 22:24:46,3.0,2.543107695584575,280.92028328877234,278.8645591329816,286.71498591887945,19.06425330030394,,,,,2989.72996,
2025-05-09 04:00:00,2025-05-08 22:24:46,3.0,2.6055997016003043,279.6951586507844,278.1702495863393,0.4270977750281925,19.52163177816356,,,,,3189.78742,
2025-05-09 05:00:00,2025-05-08 22:24:46,3.0,2.6055997016003043,279.6951586507844,278.1702495863393,0.4270977750281925,19.52163177816356,,,,,3190.3519,
2025-05-09 06:00:00,2025-05-08 22:24:46,3.0,2.6055997016003043,279.6951586507844,278.1702495863393,0.4270977750281925,19.52163177816356,,,,,3175.10838,
2025-05-09 07:00:00,2025-05-08 22:24:46,3.0,2.909666423144751,278.7757877599647,277.53910809445523,0.2135434517848945,20.304783491750086,,,,,3183.70716,
2025-05-09 08:00:00,2025-05-08 22:24:46,3.0,2.909666423144751,278.7757877599647,277.53910809445523,0.2135434517848945,20.304783491750086,,,,,3175.75692,
2025-05-09 09:00:00,2025-05-08 22:24:46,3.0,2.909666423144751,278.7757877599647,277.53910809445523,0.2135434517848945,20.304783491750086,,,,,3165.79613,
2025-05-09 10:00:00,2025-05-08 22:24:46,3.0,3.5834418311427365,280.1795781148013,277.76343284391976,0.0,21.47156196036581,,,,,3123.89382,
2025-05-09 11:00:00,2025-05-08 22:24:46,3.0,3.5834418311427365,280.1795781148013,277.76343284391976,0.0,21.47156196036581,,,,,3107.83593,
2025-05-09 12:00:00,2025-05-08 22:24:46,3.0,3.5834418311427365,280.1795781148013,277.76343284391976,0.0,21.47156196036581,,,,,3116.71734,
2025-05-09 13:00:00,2025-05-08 22:24:46,3.0,3.991909761034529,282.95715351242154,277.66502152290747,27.964018094513925,22.707056353862,,,,,3119.35766,
2025-05-09 14:00:00,2025-05-08 22:24:46,3.0,3.991909761034529,282.95715351242154,277.66502152290747,27.964018094513925,22.707056353862,,,,,3140.46296,
2025-05-09 15:00:00,2025-05-08 22:24:46,3.0,3.991909761034529,282.95715351242154,277.66502152290747,27.964018094513925,22.707056353862,,,,,3154.71213,
2025-05-09 16:00:00,2025-05-08 22:24:46,3.0,4.041140724310869,284.3149917379192,277.7369097800482,359.078789016361,23.70289860076673,,,,,3150.46625,
2025-05-09 17:00:00,2025-05-08 22:24:46,3.0,4.041140724310869,284.3149917379192,277.7369097800482,359.078789016361,23.70289860076673,,,,,3139.47492,
2025-05-09 18:00:00,2025-05-08 22:24:46,3.0,4.041140724310869,284.3149917379192,277.7369097800482,359.078789016361,23.70289860076673,,,,,3143.1498,
2025-05-09 19:00:00,2025-05-08 22:24:46,3.0,3.646829708236546,284.1432740222025,278.02990156544854,440.2845119520155,24.448909502784087,,,,,3112.61182,
2025-05-09 20:00:00,2025-05-08 22:24:46,3.0,3.646829708236546,284.1432740222025,278.02990156544854,440.2845119520155,24.448909502784087,,,,,3102.953,
2025-05-09 21:00:00,2025-05-08 22:24:46,3.0,3.646829708236546,284.1432740222025,278.02990156544854,440.2845119520155,24.448909502784087,,,,,3087.36481,
2025-05-09 22:00:00,2025-05-08 22:24:46,3.0,2.799298775590277,281.53161786719534,278.5272429322295,402.7530343796224,25.05473245496366,,,,,3090.20943,
2025-05-09 23:00:00,2025-05-08 22:24:46,3.0,2.799298775590277,281.53161786719534,278.5272429322295,402.7530343796224,25.05473245496366,,,,,3089.47568,
