,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
38,2025-05-04 14:00:00,2025-05-08 01:08:32,3.0,319.91,675.9600830078125,597.3961181640625,992.0362548828124,29.44989013671875,456.44537353515625,0.0009765625
39,2025-05-04 15:00:00,2025-05-08 01:08:32,3.0,321.72,755.9800415039062,594.1980590820312,993.5181274414062,28.22494506835937,580.2226867675781,0.00048828125
40,2025-05-04 16:00:00,2025-05-08 01:08:32,3.0,319.04,806.4900207519531,586.5990295410156,992.7590637207032,29.112472534179688,696.6113433837891,0.000244140625
41,2025-05-04 17:00:00,2025-05-08 01:08:32,3.0,321.59,840.7450103759766,595.7995147705078,991.8795318603516,29.556236267089844,735.8056716918945,0.0001220703125
42,2025-05-04 18:00:00,2025-05-08 01:08:32,3.0,330.07,895.3725051879883,588.8997573852539,992.9397659301758,29.27811813354492,729.9028358459473,6.103515625e-05
43,2025-05-04 19:00:00,2025-05-08 01:08:32,3.0,351.97,1009.686252593994,597.949878692627,992.469882965088,29.63905906677246,677.4514179229736,3.0517578125e-05
44,2025-05-04 20:00:00,2025-05-08 01:08:32,3.0,370.64,1106.343126296997,575.9749393463135,992.734941482544,29.81952953338623,612.7257089614868,1.52587890625e-05
45,2025-05-04 21:00:00,2025-05-08 01:08:32,3.0,392.79,1154.1715631484983,636.4874696731567,992.367470741272,30.909764766693115,476.3628544807434,7.62939453125e-06
46,2025-05-04 22:00:00,2025-05-08 01:08:32,3.0,411.16,1174.5857815742493,675.2437348365784,992.683735370636,36.45488238334656,336.1814272403717,3.814697265625e-06
47,2025-05-04 23:00:00,2025-05-08 01:08:32,3.0,417.69,1183.2928907871246,615.1218674182892,992.841867685318,99.72744119167328,210.59071362018585,1.9073486328125e-06
