datetime,creation_time (UTC),version,avg_wind_production_forecast
2025-05-06T01:00:00.000000000,2025-05-08 01:08:32,3.0,3868.59989
2025-05-06T02:00:00.000000000,2025-05-08 01:08:32,3.0,3819.53011
2025-05-06T03:00:00.000000000,2025-05-08 01:08:32,3.0,2969.98583
2025-05-06T04:00:00.000000000,2025-05-08 01:08:32,3.0,2900.55062
2025-05-06T05:00:00.000000000,2025-05-08 01:08:32,3.0,2823.28404
2025-05-06T06:00:00.000000000,2025-05-08 01:08:32,3.0,2503.12566
2025-05-06T07:00:00.000000000,2025-05-08 01:08:32,3.0,2498.44895
2025-05-06T08:00:00.000000000,2025-05-08 01:08:32,3.0,2366.62292
2025-05-06T09:00:00.000000000,2025-05-08 01:08:32,3.0,2339.19142
2025-05-06T10:00:00.000000000,2025-05-08 01:08:32,3.0,2166.4814
2025-05-06T11:00:00.000000000,2025-05-08 01:08:32,3.0,2240.67363
2025-05-06T12:00:00.000000000,2025-05-08 01:08:32,3.0,2102.69782
2025-05-06T13:00:00.000000000,2025-05-08 01:08:32,3.0,2041.84913
2025-05-06T14:00:00.000000000,2025-05-08 01:08:32,3.0,1781.72729
2025-05-06T15:00:00.000000000,2025-05-08 01:08:32,3.0,1894.92864
2025-05-06T16:00:00.000000000,2025-05-08 01:08:32,3.0,1669.92044
2025-05-06T17:00:00.000000000,2025-05-08 01:08:32,3.0,1584.58852
2025-05-06T18:00:00.000000000,2025-05-08 01:08:32,3.0,1599.47379
2025-05-06T19:00:00.000000000,2025-05-08 01:08:32,3.0,1619.7648
2025-05-06T20:00:00.000000000,2025-05-08 01:08:32,3.0,1617.8249
2025-05-06T21:00:00.000000000,2025-05-08 01:08:32,3.0,1741.87576
2025-05-06T22:00:00.000000000,2025-05-08 01:08:32,3.0,1815.83671
2025-05-06T23:00:00.000000000,2025-05-08 01:08:32,3.0,1801.22623
2025-05-07T00:00:00.000000000,2025-05-08 01:08:32,3.0,3816.18994
2025-05-07T01:00:00.000000000,2025-05-08 01:08:32,3.0,3868.59989
2025-05-07T02:00:00.000000000,2025-05-08 01:08:32,3.0,3819.53011
2025-05-07T03:00:00.000000000,2025-05-08 01:08:32,3.0,3838.15988
2025-05-07T04:00:00.000000000,2025-05-08 01:08:32,3.0,2900.55062
2025-05-07T05:00:00.000000000,2025-05-08 01:08:32,3.0,2823.28404
2025-05-07T06:00:00.000000000,2025-05-08 01:08:32,3.0,2503.12566
2025-05-07T07:00:00.000000000,2025-05-08 01:08:32,3.0,2498.44895
2025-05-07T08:00:00.000000000,2025-05-08 01:08:32,3.0,2366.62292
2025-05-07T09:00:00.000000000,2025-05-08 01:08:32,3.0,2339.19142
2025-05-07T10:00:00.000000000,2025-05-08 01:08:32,3.0,2166.4814
2025-05-07T11:00:00.000000000,2025-05-08 01:08:32,3.0,2240.67363
2025-05-07T12:00:00.000000000,2025-05-08 01:08:32,3.0,2102.69782
2025-05-07T13:00:00.000000000,2025-05-08 01:08:32,3.0,2041.84913
2025-05-07T14:00:00.000000000,2025-05-08 01:08:32,3.0,1781.72729
2025-05-07T15:00:00.000000000,2025-05-08 01:08:32,3.0,1894.92864
2025-05-07T16:00:00.000000000,2025-05-08 01:08:32,3.0,1669.92044
2025-05-07T17:00:00.000000000,2025-05-08 01:08:32,3.0,1584.58852
2025-05-07T18:00:00.000000000,2025-05-08 01:08:32,3.0,1599.47379
2025-05-07T19:00:00.000000000,2025-05-08 01:08:32,3.0,1619.7648
2025-05-07T20:00:00.000000000,2025-05-08 01:08:32,3.0,1617.8249
2025-05-07T21:00:00.000000000,2025-05-08 01:08:32,3.0,1741.87576
2025-05-07T22:00:00.000000000,2025-05-08 01:08:32,3.0,1815.83671
2025-05-07T23:00:00.000000000,2025-05-08 01:08:32,3.0,1801.22623
