datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2025-05-04 16:00:00,2025-05-08 01:08:32,3.0,4.980541773690108,300.42357451820124,291.67692645166926,458.3313626472069,2.941556031318232,,,0.0,
2025-05-04 17:00:00,2025-05-08 01:08:32,3.0,4.980541773690108,300.42357451820124,291.67692645166926,458.3313626472069,2.941556031318232,,,0.0,
2025-05-04 18:00:00,2025-05-08 01:08:32,3.0,4.980541773690108,300.42357451820124,291.67692645166926,458.3313626472069,2.941556031318232,,,0.01061,
2025-05-04 19:00:00,2025-05-08 01:08:32,3.0,5.087689141750332,300.43823704320454,291.4982141203422,666.8408735472908,3.2062051799765587,,,0.0,
2025-05-04 20:00:00,2025-05-08 01:08:32,3.0,5.087689141750332,300.43823704320454,291.4982141203422,666.8408735472908,3.2062051799765587,,,0.01592,
2025-05-04 21:00:00,2025-05-08 01:08:32,3.0,5.087689141750332,300.43823704320454,291.4982141203422,666.8408735472908,3.2062051799765587,,,0.0,
2025-05-04 22:00:00,2025-05-08 01:08:32,3.0,4.642427837270491,298.46541930936405,292.0295460353224,704.2169050033859,3.500535603736325,,,0.0,
2025-05-04 23:00:00,2025-05-08 01:08:32,3.0,4.642427837270491,298.46541930936405,292.0295460353224,704.2169050033859,3.500535603736325,,,0.00178,
2025-05-05 00:00:00,2025-05-08 01:08:32,3.0,4.642427837270491,298.46541930936405,292.0295460353224,704.2169050033859,3.500535603736325,,,9624.53027,
2025-05-05 01:00:00,2025-05-08 01:08:32,3.0,3.726716168166405,296.8030948072658,292.14654875597734,476.32083662016754,3.931505284769119,,,4156.5,
2025-05-05 02:00:00,2025-05-08 01:08:32,3.0,3.726716168166405,296.8030948072658,292.14654875597734,476.32083662016754,3.931505284769119,,,0.0,
2025-05-05 03:00:00,2025-05-08 01:08:32,3.0,3.726716168166405,296.8030948072658,292.14654875597734,476.32083662016754,3.931505284769119,,,0.04987,
2025-05-05 04:00:00,2025-05-08 01:08:32,3.0,3.454995593709289,295.9310133478443,291.6221979612972,0.0288331864573706,4.358100798557874,,,0.01274,
2025-05-05 05:00:00,2025-05-08 01:08:32,3.0,3.454995593709289,295.9310133478443,291.6221979612972,0.0288331864573706,4.358100798557874,,,0.0,
2025-05-05 06:00:00,2025-05-08 01:08:32,3.0,3.454995593709289,295.9310133478443,291.6221979612972,0.0288331864573706,4.358100798557874,,,0.0,
2025-05-05 07:00:00,2025-05-08 01:08:32,3.0,3.3507830482858747,295.30753964631504,291.00105117577857,0.0144367484607782,4.603255703559041,,,0.0,
2025-05-05 08:00:00,2025-05-08 01:08:32,3.0,3.3507830482858747,295.30753964631504,291.00105117577857,0.0144367484607782,4.603255703559041,,,0.05637,
2025-05-05 09:00:00,2025-05-08 01:08:32,3.0,3.3507830482858747,295.30753964631504,291.00105117577857,0.0144367484607782,4.603255703559041,,,0.01313,
2025-05-05 10:00:00,2025-05-08 01:08:32,3.0,2.7797301476526632,295.9808178556502,290.77492440582915,0.0,4.741168911908305,,,0.0,
2025-05-05 11:00:00,2025-05-08 01:08:32,3.0,2.7797301476526632,295.9808178556502,290.77492440582915,0.0,4.741168911908305,,,0.0,
2025-05-05 12:00:00,2025-05-08 01:08:32,3.0,2.7797301476526632,295.9808178556502,290.77492440582915,0.0,4.741168911908305,,,0.0,
2025-05-05 13:00:00,2025-05-08 01:08:32,3.0,3.1261096181397283,299.0055495536298,290.284709308609,18.458932352135577,4.837775977906688,,,0.00081,
2025-05-05 14:00:00,2025-05-08 01:08:32,3.0,3.1261096181397283,299.0055495536298,290.284709308609,18.458932352135577,4.837775977906688,,,0.0,
2025-05-05 15:00:00,2025-05-08 01:08:32,3.0,3.1261096181397283,299.0055495536298,290.284709308609,18.458932352135577,4.837775977906688,,,0.0,
2025-05-05 16:00:00,2025-05-08 01:08:32,3.0,3.8790961979709295,300.7788111140147,289.81135947899367,536.6705097679836,4.901741231367523,,,0.0,
2025-05-05 17:00:00,2025-05-08 01:08:32,3.0,3.8790961979709295,300.7788111140147,289.81135947899367,536.6705097679836,4.901741231367523,,,0.0,
